title,description
¿Van Til dijo que los incrédulos no saben nada?,"Se explora si Van Til afirmó que los incrédulos no pueden saber nada. El artículo aclara que Van Til reconoció que los no creyentes tienen conocimiento, pero argumentó que este conocimiento es incoherente sin la base de la revelación divina, resaltando la dependencia de toda comprensión en la revelación de Dios."
Acercándose a los «Problemas» Bíblicos,"Este artículo discute cómo los cristianos deben abordar los problemas bíblicos aparentes. Sugiere que, en lugar de dudar de la Biblia, los creyentes deben confiar en la coherencia interna de la Escritura y abordar las aparentes contradicciones con una mente humilde y confiada en la revelación de Dios."
Características De La Cosmovisión,"Describe las características clave de una cosmovisión, destacando cómo las presuposiciones fundamentales sobre la realidad, el conocimiento y la moralidad influyen en la forma en que las personas interpretan el mundo. Sostiene que una cosmovisión cristiana ofrece la única base sólida para una comprensión coherente y significativa del universo."
Charles Hodge - Un Proto-Presuposicionalista,"El artículo presenta a Charles Hodge como un precursor del presuposicionalismo, mostrando cómo sus enseñanzas enfatizaban la necesidad de la revelación divina para el conocimiento verdadero. Hodge argumentó que Dios es la precondición para la inteligibilidad de la realidad, un principio fundamental en la apologética presuposicional."
Ciencia - Una celebración y un lamento,"Este artículo reflexiona sobre los logros de la ciencia moderna y su incapacidad para reconocer la mano de Dios en la creación. Celebra los descubrimientos científicos como manifestaciones de la obra de Dios, pero lamenta la ceguera espiritual que impide a muchos ver la gloria de Dios revelada en el universo."
"Definición de las Posiciones - La Fe, la Razón y la Fe Racional","Este artículo analiza la relación entre fe y razón en la apologética cristiana. Destaca que la fe no está en contra de la razón, sino que la razón misma presupone la fe en la revelación divina. La fe racional no es irracional, sino que reconoce la autoridad de Dios como fundamento del conocimiento y la verdad."
Definiendo las Cosmovisiones,"Explora cómo las cosmovisiones influyen en la interpretación de la realidad, mostrando que todos tienen presuposiciones básicas que guían su entendimiento del mundo. Una cosmovisión cristiana, fundamentada en la revelación bíblica, ofrece una comprensión coherente y significativa del universo frente a las visiones seculares."
"Dios no es la inferencia de la Ciencia, es su Presuposición","Este artículo argumenta que Dios no es una conclusión derivada de la ciencia, sino la presuposición necesaria para que la ciencia misma sea posible. Sin la existencia de Dios, la ciencia carece de un fundamento coherente para explicar el orden, las leyes naturales y la racionalidad del universo."
Dos Guerreros Cristianos - Cornelius Van Til y Francis A. Schaeffer comparados,"Comparación entre Van Til y Schaeffer, dos figuras prominentes en la apologética cristiana. Van Til enfatizó la presuposición de Dios como la base de toda verdad, mientras que Schaeffer utilizó un enfoque más cultural. Ambos contribuyeron significativamente al debate sobre la defensa de la fe cristiana en un mundo secular."
Dudas de William Lane Craig sobre el relato de la creación,"Discute las dudas expresadas por William Lane Craig sobre el relato bíblico de la creación, señalando cómo su enfoque difiere del tradicionalismo reformado. Craig busca armonizar la ciencia moderna con el relato bíblico, mientras que la apologética reformada sostiene la supremacía de la Escritura sobre las interpretaciones científicas."
El Aborto - un crimen contra Dios y la humanidad,"Este artículo condena el aborto como un crimen grave contra Dios y la humanidad. Argumenta que cada vida humana es sagrada desde la concepción, y que la práctica del aborto es una violación de los mandamientos divinos y un ataque contra la imagen de Dios en el ser humano."
El autoengaño del incrédulo,"Explora cómo el incrédulo se engaña a sí mismo al rechazar la verdad de Dios revelada en la naturaleza y la Escritura. El artículo muestra que este autoengaño es un acto voluntario de supresión de la verdad, evidenciando la necesidad de la revelación divina y la regeneración del Espíritu Santo para un verdadero entendimiento."
El Libro de la Naturaleza y la Apologética - Una respuesta al Dr. Fesko,"Responde a la crítica de Fesko sobre la interpretación del «libro de la naturaleza» en la apologética. Defiende que la naturaleza revela a Dios, pero solo en el contexto de la revelación especial. Afirma que el conocimiento verdadero de Dios y del mundo requiere la guía de la Escritura.'"
El Positivismo Lógico y el Mito del Naturalismo Moral,"Este artículo critica el positivismo lógico y el naturalismo moral, argumentando que ambos carecen de fundamentos racionales sólidos. El positivismo lógico rechaza afirmaciones metafísicas como sin sentido, mientras que el naturalismo moral intenta derivar valores éticos de hechos naturales, lo cual es insuficiente sin una base transcendente."
El Problema De Conocer Lo «Sobrenatural»,"Discute las dificultades en el conocimiento de lo sobrenatural, argumentando que los intentos de comprender lo divino desde una perspectiva meramente humana están destinados al fracaso. La razón humana, limitada por su propia naturaleza, no puede alcanzar a Dios sin la revelación divina que trasciende nuestra comprensión finita."
El problema de la uniformidad de la naturaleza,"Este artículo aborda el problema filosófico de la uniformidad de la naturaleza, destacando cómo la ciencia presupone que las leyes naturales son consistentes y uniformes. Argumenta que esta presuposición sólo tiene sentido dentro de un marco teísta, donde un Dios ordenado garantiza la coherencia del universo."
El Problema de los Absolutos de la Moral,"Explora cómo los absolutos morales no pueden tener una base consistente en un marco secular. Argumenta que sin un Dios trascendente, no hay fundamento para una moralidad objetiva y universal, dejando las normas éticas a la arbitrariedad del relativismo cultural y personal."
El Problema De Los Universales,"Analiza el problema filosófico de los universales, cuestionando cómo conceptos generales pueden existir y aplicarse a múltiples individuos. El artículo defiende que los universales sólo tienen coherencia en una cosmovisión cristiana, donde Dios, como la fuente de toda realidad, fundamenta la existencia de categorías universales."
El Problema Del Lenguaje Religioso,"Este artículo examina el desafío de comunicar conceptos religiosos usando lenguaje humano, que es inherentemente limitado y finito. Argumenta que el lenguaje religioso puede ser significativo si se basa en la revelación divina, que proporciona el contenido necesario para expresar verdades sobre lo divino."
El Problema Del Mal,"Explora el problema del mal desde una perspectiva teológica, argumentando que la existencia del mal no es incompatible con un Dios bueno y omnipotente. Enfatiza que el mal debe ser entendido a la luz de la revelación bíblica, que presenta a Dios como soberano y justo, permitiendo el mal por razones que trascienden nuestra comprensión."
El Robo de la Neutralidad,"Este artículo critica la demanda de neutralidad en la educación y el pensamiento cristiano, argumentando que tal postura es imposible y contraria a la fe. Defiende que toda búsqueda de conocimiento debe estar arraigada en la verdad de Cristo, ya que la neutralidad lleva al engaño y al error espiritual."
Experiencia y creencia,"Discute cómo las creencias individuales están interconectadas y cómo la evidencia empírica no puede falsar decisivamente ninguna creencia específica dentro de una red de convicciones. Argumenta que la experiencia no puede determinar qué creencias modificar sin una interpretación previa, resaltando la subjetividad en la evaluación de la evidencia."
Falacia de Petición de Principio en el Razonamiento Ateo,"Critica el razonamiento ateo por cometer la falacia de petición de principio, asumiendo de antemano que las explicaciones teístas son inválidas. Argumenta que esta postura no es neutral ni objetiva, sino un rechazo preconcebido de la posibilidad de lo sobrenatural, lo que socava la credibilidad de los argumentos ateos."
Ganar el Mundo con Esperanza,"Este artículo destaca la importancia de la esperanza cristiana como motivación para la evangelización y el compromiso cultural. Argumenta que la esperanza basada en la resurrección de Cristo nos impulsa a influir positivamente en el mundo, confiando en el poder transformador del evangelio y en la soberanía de Dios sobre todas las cosas."
Greg Bahnsen - Epistemología y Ontología,"Explora la epistemología y ontología según Greg Bahnsen, destacando cómo su enfoque presuposicionalista defiende que todo conocimiento y realidad están fundamentados en la revelación de Dios. Bahnsen argumenta que sin Dios, los conceptos de conocimiento y ser carecen de base, subrayando la necesidad de una cosmovisión cristiana coherente."
Instrucción Divina versus Autonomía,"Este artículo discute la tensión entre la sumisión a la instrucción divina y la autonomía humana. Argumenta que la verdadera sabiduría proviene de seguir la revelación de Dios en lugar de confiar en la razón humana independiente. La autonomía, sin la guía divina, lleva a la confusión y al error moral y espiritual."
La apologética clásica es inútil frente a los irracionalismos orientales,"Critica la apologética clásica por su ineficacia ante filosofías orientales irracionales. Sostiene que solo la apologética presuposicional puede confrontar efectivamente estas cosmovisiones, ya que se basa en la verdad absoluta revelada por Dios, frente a las filosofías que niegan la lógica y la consistencia racional."
La Apologética De Justino Mártir,"Examina la obra apologética de Justino Mártir, un defensor temprano del cristianismo. Justino usó la filosofía griega para dialogar con los intelectuales paganos, buscando demostrar la superioridad del cristianismo sobre las creencias paganas al conectar la verdad cristiana con conceptos filosóficos ya aceptados por sus contemporáneos."
La Base Epistemológica de la Fe Cristiana,"Este artículo analiza cómo la fe cristiana se fundamenta en una base epistemológica sólida que incluye la revelación de Dios en la Escritura y la creación. Argumenta que solo a través de la revelación divina podemos tener un conocimiento verdadero y seguro, que trasciende las limitaciones de la razón humana caída."
La Biblia y la Ciencia,"Discute la relación entre la Biblia y la ciencia, argumentando que no hay conflicto esencial entre ambos. Sostiene que la Biblia proporciona el fundamento para el estudio científico, al establecer un orden coherente en la creación que la ciencia explora, y que las aparentes contradicciones son el resultado de interpretaciones incorrectas."
La Controversia Gordon Clark y Cornelius Van Til,"Explora la controversia entre Gordon Clark y Cornelius Van Til, dos influyentes teólogos reformados, sobre la epistemología y la naturaleza del conocimiento. Van Til defendió la necesidad de un enfoque presuposicional, mientras que Clark enfatizó un enfoque racionalista, resaltando diferencias significativas en su comprensión de la verdad."
La Creación Bajo Ataque,"Este artículo aborda los desafíos contemporáneos a la doctrina de la creación, destacando cómo las teorías científicas y filosóficas modernas a menudo contradicen el relato bíblico. Argumenta que la fe en la creación bíblica es fundamental para una cosmovisión cristiana coherente y que los cristianos deben defenderla contra las críticas."
La Filosofía de Gordon Clark,"Analiza la filosofía de Gordon Clark, destacando su enfoque fundacionalista y su énfasis en la lógica y la razón como bases del conocimiento. Clark sostenía que solo las proposiciones bíblicas ofrecen un fundamento seguro para el conocimiento, limitando el saber a lo que puede derivarse lógicamente de la Escritura."
La Futilidad del Pensamiento No Cristiano,"Este artículo expone la inutilidad de las filosofías no cristianas al intentar explicar la realidad sin Dios. Argumenta que solo una cosmovisión cristiana puede proporcionar una base coherente para el conocimiento, la lógica y la moralidad, ya que reconoce a Dios como la fuente última de toda verdad y significado."
La Impropiedad de Argumentar Evidencialmente por la Resurrección,"Discute la inadecuación de los argumentos evidenciales para probar la resurrección de Cristo, sugiriendo que tales argumentos no pueden persuadir a aquellos que rechazan las presuposiciones cristianas. En su lugar, defiende un enfoque presuposicional que afirma la resurrección sobre la base de la autoridad de la Escritura y la revelación divina."
La incoherencia de los LGBT,"Este artículo critica la incoherencia interna de la ideología LGBT desde una perspectiva cristiana. Argumenta que las afirmaciones LGBT contradicen las verdades bíblicas sobre la creación y la naturaleza humana, y que, al rechazar los principios divinos, las identidades LGBT carecen de fundamento lógico y coherente en la realidad."
La incoherencia de los LGBT - parte 2,"Continúa la crítica de la ideología LGBT, enfocándose en cómo sus postulados entran en conflicto con principios morales y racionales. Sostiene que, al ignorar las normas establecidas por Dios, la ideología LGBT se vuelve autodestructiva y socava los fundamentos éticos y sociales que sustentan una sociedad justa."
La Paideia Tomista,"Explora la paideia tomista, o la educación según Tomás de Aquino, destacando cómo integra la fe y la razón en un sistema educativo cristiano. Defiende que este enfoque proporciona una base sólida para el conocimiento y la moralidad, orientando la formación del carácter y el intelecto hacia la verdad de Dios."
La Personalidad y el Desafío del Naturalismo,"Examina cómo el naturalismo falla al explicar la personalidad humana, que es más que la suma de procesos físicos y químicos. Argumenta que el naturalismo niega la realidad de la imagen de Dios en el ser humano, lo que resulta en una visión reduccionista e inadecuada de la naturaleza humana."
La soberanía de Dios y la apologética,"Este artículo conecta la soberanía de Dios con la práctica de la apologética cristiana, argumentando que la defensa de la fe debe descansar en la autoridad y el control absoluto de Dios sobre todas las cosas. Subraya que la apologética es eficaz solo cuando se reconoce la primacía de Dios en todos los aspectos de la vida y el pensamiento."
La Teología Reformada y la Apologética Clásica,"Critica la apologética clásica desde una perspectiva reformada, señalando que este enfoque a menudo compromete la soberanía de Dios y la suficiencia de la Escritura. Aboga por un método apologético que esté en plena armonía con la teología reformada, enfatizando la necesidad de un enfoque centrado en Dios y fiel a la revelación bíblica."
Las actitudes Liberales y Neo-Ortodoxa frente a la Revelación,"Analiza cómo las actitudes liberales y neo-ortodoxas hacia la revelación socavan la autoridad de la Escritura. Argumenta que ambos enfoques diluyen la verdad divina y comprometen la fe cristiana, promoviendo una interpretación subjetiva y relativista que desvía a los creyentes de la enseñanza bíblica ortodoxa."
Las Contradicciones Inherentes al Agnosticismo,"Expone las contradicciones internas del agnosticismo, mostrando cómo esta postura pretende ser neutral y abierta, pero en realidad asume una posición definitiva sobre la existencia de Dios. Argumenta que el agnosticismo, al negar la posibilidad de conocimiento sobre lo divino, se convierte en una afirmación dogmática y contradictoria."
Las precondiciones teístas del conocimiento - un bosquejo en miniatura,"Este artículo discute cómo las precondiciones para el conocimiento coherente requieren la existencia del Dios del teísmo cristiano. Sostiene que la uniformidad de la naturaleza y la lógica solo son posibles bajo la suposición de un Dios soberano que ordena todas las cosas, y que incluso los no cristianos dependen de estas presuposiciones mientras las rechazan verbalmente."
Las Presuposiciones son la Clave,"Este artículo enfatiza la importancia de las presuposiciones en la apologética cristiana, argumentando que todos los argumentos y creencias se basan en suposiciones básicas que forman la cosmovisión de una persona. Explica cómo las presuposiciones cristianas, basadas en la revelación de Dios, proporcionan un fundamento sólido para el conocimiento y la verdad."
Liberalismo y Fundamentalismo Teológico,"Explora la tensión entre el liberalismo teológico y el fundamentalismo, destacando cómo cada enfoque interpreta la Biblia y la autoridad de la revelación de manera diferente. Argumenta que el liberalismo compromete la verdad bíblica en favor de la relevancia cultural, mientras que el fundamentalismo sostiene una defensa intransigente de la doctrina ortodoxa."
Libertad Personal y Dignidad Humana,"Discute la relación entre la libertad personal y la dignidad humana desde una perspectiva cristiana. Afirma que la verdadera libertad y dignidad se encuentran solo en Cristo, quien libera a las personas del pecado y les da un propósito y valor intrínseco como criaturas hechas a imagen de Dios, contrastando con las visiones seculares de autonomía."
Los Milagros de Cristo,"Este artículo examina los milagros de Cristo como evidencias de su divinidad y autoridad. Argumenta que los milagros no solo demuestran el poder sobrenatural de Jesús, sino que también cumplen las profecías y validan su identidad como el Hijo de Dios, invitando a los creyentes a confiar en el poder transformador de Cristo."
Presuposicionalismo y evidencia - Parte 1,"Analiza la relación entre el presuposicionalismo y la evidencia en la apologética cristiana, destacando que, aunque el presuposicionalismo no descarta la evidencia, la interpreta a través de la lente de una cosmovisión cristiana. Sostiene que todas las evidencias deben ser entendidas en el contexto de la revelación divina."
Pruebas Teístas,"Este artículo examina diferentes tipos de pruebas teístas para la existencia de Dios, como los argumentos cosmológico, teleológico y moral. Discute las fortalezas y debilidades de cada argumento, y cómo pueden ser utilizados para apuntar a la necesidad de un ser supremo que es consistente con el Dios de la Biblia."
"Razón, Evidencia y Apologética Presuposicional",Discute cómo la razón y la evidencia funcionan dentro de la apologética presuposicional. Argumenta que la razón debe someterse a la revelación de Dios y que la evidencia debe ser interpretada a la luz de las Escrituras. Subraya la importancia de una base cristiana para entender y presentar la verdad.
Razonamiento por Presuposición,"Explica el concepto de razonamiento por presuposición en la apologética, argumentando que todos los sistemas de creencias se basan en presuposiciones que no pueden ser probadas empíricamente. Sostiene que el cristianismo ofrece la única base coherente para la verdad y el conocimiento, mientras que otras cosmovisiones caen en la incoherencia."
Sobre las suposiciones mixtas,"Este artículo aborda la idea de las suposiciones mixtas, discutiendo cómo las personas a menudo mantienen creencias contradictorias o incoherentes. Argumenta que es importante reconocer y examinar estas suposiciones para alcanzar una comprensión más clara y consistente de la realidad, especialmente en la apologética y la teología cristiana."
Un Argumento Trascendental para la Existencia de Dios Inspirado en Hume,"Este artículo presenta un argumento trascendental para la existencia de Dios basado en las ideas de David Hume. Sostiene que, sin la presuposición de Dios, las leyes de la lógica, la uniformidad de la naturaleza y la causalidad no pueden ser coherentemente explicadas, destacando la necesidad de un Dios creador para una cosmovisión lógica y racional."
Una Metafísica Trinitaria de la Predestinación y Libertad Humana,"Explora cómo la doctrina de la Trinidad proporciona un marco metafísico único para entender la relación entre la predestinación divina y la libertad humana. Argumenta que, dentro de la visión trinitaria, la soberanía de Dios y la responsabilidad humana coexisten armoniosamente, ofreciendo una comprensión profunda de la interacción entre el decreto divino y la libertad de las criaturas."
Van Til contra Aristóteles,"Este artículo analiza la crítica de Cornelius Van Til a la filosofía de Aristóteles. Van Til sostiene que la filosofía de Aristóteles, al basarse en la autonomía de la razón humana, se opone a la cosmovisión cristiana que reconoce la dependencia total del ser humano en Dios para el conocimiento y la interpretación del mundo."
Van Til y Plantinga - Más Cerca de lo que Parece,"Comparación entre Cornelius Van Til y Alvin Plantinga, mostrando cómo ambos comparten puntos de vista similares sobre la epistemología reformada y la importancia de las presuposiciones en la fe cristiana. Aunque difieren en algunos enfoques, ambos destacan la necesidad de una base cristiana para el conocimiento y la verdad."
Venciendo el Prejuicio Anti-Metafísica,"Discute cómo superar el prejuicio contra la metafísica en la filosofía contemporánea. Argumenta que la cosmovisión cristiana ofrece una base coherente para la metafísica, mientras que el rechazo secular de la metafísica carece de fundamentos lógicos y termina socavando la posibilidad misma de conocimiento y ciencia."
