filename,title,description
Ganar el Mundo con Esperanza.md,Ganar el Mundo con Esperanza,"Este artículo destaca la importancia de la esperanza cristiana como motivación para la evangelización y el compromiso cultural. Argumenta que la esperanza basada en la resurrección de Cristo nos impulsa a influir positivamente en el mundo, confiando en el poder transformador del evangelio y en la soberanía de Dios sobre todas las cosas."
Greg Bahnsen_ Epistemología y Ontología.md,Greg Bahnsen: Epistemología y Ontología,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Instrucción Divina versus Autonomía.md,Instrucción Divina versus Autonomía,"Este artículo discute la tensión entre la sumisión a la instrucción divina y la autonomía humana. Argumenta que la verdadera sabiduría proviene de seguir la revelación de Dios en lugar de confiar en la razón humana independiente. La autonomía, sin la guía divina, lleva a la confusión y al error moral y espiritual."
La Apologética De Justino Mártir.md,La Apologética De Justino Mártir,"Examina la obra apologética de Justino Mártir, un defensor temprano del cristianismo. Justino usó la filosofía griega para dialogar con los intelectuales paganos, buscando demostrar la superioridad del cristianismo sobre las creencias paganas al conectar la verdad cristiana con conceptos filosóficos ya aceptados por sus contemporáneos."
La Base Epistemológica de la Fe Cristiana.md,La Base Epistemológica de la Fe Cristiana,"Este artículo analiza cómo la fe cristiana se fundamenta en una base epistemológica sólida que incluye la revelación de Dios en la Escritura y la creación. Argumenta que solo a través de la revelación divina podemos tener un conocimiento verdadero y seguro, que trasciende las limitaciones de la razón humana caída."
La Biblia y la Ciencia.md,La Biblia y la Ciencia,"Discute la relación entre la Biblia y la ciencia, argumentando que no hay conflicto esencial entre ambos. Sostiene que la Biblia proporciona el fundamento para el estudio científico, al establecer un orden coherente en la creación que la ciencia explora, y que las aparentes contradicciones son el resultado de interpretaciones incorrectas."
La Controversia Gordon Clark y Cornelius Van Til.md,La Controversia Gordon Clark y Cornelius Van Til,"Explora la controversia entre Gordon Clark y Cornelius Van Til, dos influyentes teólogos reformados, sobre la epistemología y la naturaleza del conocimiento. Van Til defendió la necesidad de un enfoque presuposicional, mientras que Clark enfatizó un enfoque racionalista, resaltando diferencias significativas en su comprensión de la verdad."
La Creación Bajo Ataque.md,La Creación Bajo Ataque,"Este artículo aborda los desafíos contemporáneos a la doctrina de la creación, destacando cómo las teorías científicas y filosóficas modernas a menudo contradicen el relato bíblico. Argumenta que la fe en la creación bíblica es fundamental para una cosmovisión cristiana coherente y que los cristianos deben defenderla contra las críticas."
La Filosofía de Gordon Clark.md,La Filosofía de Gordon Clark,"Analiza la filosofía de Gordon Clark, destacando su enfoque fundacionalista y su énfasis en la lógica y la razón como bases del conocimiento. Clark sostenía que solo las proposiciones bíblicas ofrecen un fundamento seguro para el conocimiento, limitando el saber a lo que puede derivarse lógicamente de la Escritura."
La Futilidad del Pensamiento No Cristiano.md,La Futilidad del Pensamiento No Cristiano,"Este artículo expone la inutilidad de las filosofías no cristianas al intentar explicar la realidad sin Dios. Argumenta que solo una cosmovisión cristiana puede proporcionar una base coherente para el conocimiento, la lógica y la moralidad, ya que reconoce a Dios como la fuente última de toda verdad y significado."
La Impropiedad de Argumentar Evidencialmente por la Resurrección.md,La Impropiedad de Argumentar Evidencialmente por la Resurrección,"Discute la inadecuación de los argumentos evidenciales para probar la resurrección de Cristo, sugiriendo que tales argumentos no pueden persuadir a aquellos que rechazan las presuposiciones cristianas. En su lugar, defiende un enfoque presuposicional que afirma la resurrección sobre la base de la autoridad de la Escritura y la revelación divina."
La apologética clásica es inútil frente a los irracionalismos orientales..md,La apologética clásica es inútil frente a los irracionalismos orientales.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Fue Calvino un escolástico una respuesta a Dr. Fesko.md,¿Fue Calvino un escolástico? una respuesta a Dr. Fesko,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Ha leído mal Van Til a Aquino Una respuesta a Dr. Fesko.md,¿Ha leído mal Van Til a Aquino? Una respuesta a Dr. Fesko,"Este artículo responde a la crítica del Dr. Fesko sobre la interpretación de Van Til de Tomás de Aquino. Argumenta que Van Til no malinterpretó a Aquino, sino que destacó correctamente las diferencias filosóficas fundamentales entre la teología reformada y la escolástica tomista, especialmente en cuanto a la autonomía de la razón."
¿Hace Van Til con Kant lo mismo que señala que hizo Aquino con Aristoteles Una respuesta a Dr Fesko.md,¿Hace Van Til con Kant lo mismo que señala que hizo Aquino con Aristoteles? Una respuesta a Dr Fesko,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Charles Hodge_ Un Proto-Presuposicionalista.md,Charles Hodge: Un Proto-Presuposicionalista,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
El Positivismo Lógico y el Mito del Naturalismo Moral.md,El Positivismo Lógico y el Mito del Naturalismo Moral,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
La Paideia Tomista.md,La Paideia Tomista,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
La Personalidad y el Desafío del Naturalismo.md,La Personalidad y el Desafío del Naturalismo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
La soberanía de Dios y la apologética.md,La soberanía de Dios y la apologética,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
La Teología Reformada y la Apologética Clásica.md,La Teología Reformada y la Apologética Clásica,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Las actitudes Liberales y Neo-Ortodoxa frente a la Revelación.md,Las actitudes Liberales y Neo-Ortodoxa frente a la Revelación,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Las Contradicciones Inherentes al Agnosticismo.md,Las Contradicciones Inherentes al Agnosticismo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Las precondiciones teístas del conocimiento_ un bosquejo en miniatura.md,Las precondiciones teístas del conocimiento: un bosquejo en miniatura,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Las Presuposiciones son la Clave.md,Las Presuposiciones son la Clave,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Liberalismo y Fundamentalismo Teológico.md,Liberalismo y Fundamentalismo Teológico,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Libertad Personal y Dignidad Humana.md,Libertad Personal y Dignidad Humana,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Los Milagros de Cristo.md,Los Milagros de Cristo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Negó Van Til el concepto histórico de “luz de la naturaleza” Una respuesta a Dr. Fesko.md,¿Negó Van Til el concepto histórico de “luz de la naturaleza”? Una respuesta a Dr. Fesko,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Presuposicionalismo y evidencia_ Parte 1.md,Presuposicionalismo y evidencia: Parte 1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Pruebas Teístas.md,Pruebas Teístas,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Qué es el método transcendental.md,¿Qué es el método transcendental?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Qué es la Apologética Presuposicional.md,¿Qué es la Apologética Presuposicional?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Qué es una Presuposición.md,¿Qué es una Presuposición?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Razón Evidencia y Apologética Presuposicional.md,"Razón, Evidencia y Apologética Presuposicional","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Razonamiento por Presuposición.md,Razonamiento por Presuposición,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Razonando en Círculos.md,¿Razonando en Círculos?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Sobre las suposiciones mixtas.md,Sobre las suposiciones mixtas,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Son la ciencia y la lógica neutrales y sin presuposiciones.md,¿Son la ciencia y la lógica neutrales y sin presuposiciones?,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
¿Sostuvo Van Til una Creencia NO Reformada sobre la “Cosmovisión” Una Respuesta a Dr. Fesko.md,¿Sostuvo Van Til una Creencia NO Reformada sobre la “Cosmovisión”? Una Respuesta a Dr. Fesko,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Teismo Biblico.md,Teismo Biblico,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Un Argumento Trascendental para la Existencia de Dios Inspirado en Hume.md,Un Argumento Trascendental para la Existencia de Dios Inspirado en Hume,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Una Metafísica Trinitaria de la Predestinación y Libertad Humana.md,Una Metafísica Trinitaria de la Predestinación y Libertad Humana,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Van Til contra Aristóteles.md,Van Til contra Aristóteles,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Van Til y Plantinga Más Cerca de lo que Parece.md,"Van Til y Plantinga, Más Cerca de lo que Parece","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
Venciendo el Prejuicio Anti-Metafísica.md,Venciendo el Prejuicio Anti-Metafísica,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam porttitor rutrum dolor, quis suscipit nunc porta sed. Praesent id ante leo. Quisque velit ligula, tincidunt id lacinia maximus, efficitur sed felis. Donec dictum semper mi porta ultrices. Nam quis mollis."
